customer_id,age,gender,region,income_tier,education_level,marital_status,tenure_months,contract_type,preferred_channel,loyalty_tier,churn,purchase_frequency,avg_order_value,total_spend_6m,recency_days,product_categories_used,returns_ratio,email_open_rate,app_sessions_per_month,support_tickets_6m,campaign_response_rate,last_promotion_used,customer_satisfaction_score,payment_method
CUST017791,35,Non-binary,west,Mid,Post-Graduate,Single,6,Monthly,Web,Bronze,1,18,1225.14,20031.51,166,8,0.6703,0.9477,33,9,0.799,Cashback,56.5,Wallet
CUST002207,28,female,south,High,Post-Graduate,Married,30,Multi-year,Phone,Bronze,1,,95.55,2462.79,94,7,0.3628,0.5054,17,21,0.4851,Discount,40.5,Credit Card
CUST012636,53,Female,South,Low,Doctorate,Widowed,17,multiyear,Web,Silver,1,1,354.87,383.13,70,1,,0.4955,57,11,0.9296,Cashback,76,Credit Card
CUST009085,43,Female,South ,Low,Graduate,Widowed,32,Multi-year,Web,,0,13,52.85,623.71,183,4,0.1981,0.62,17,10,0.7294,Discount,60,Credit Card
CUST009106,42,Male,west,Mid,Graduate,Widowed,72,Monthly,App,,1,14,83.01,1054.54,110,4,0.0609,0,46,19,0.4835,Cashback,45.5,Debit Card
CUST017737,,Male,South ,Low,Graduate,Single,15,multiyear,App,Platinum,0,27,21.77,567.14,15,1,0.6957,0,33,6,0.0421,Cashback,88.5,COD
CUST005673,42,Female,EAST,Mid,Graduate,Single,24,Multi-year,Web,Silver,0,24,167.93,3939.54,,8,0.2598,0.8737,47,10,0.97,No Promotion,,COD
CUST016933,39,Female,West,Mid,High School,Single,22,Monthly,In-store,Bronze,1,15,118.29,1803.01,1,2,0.4589,0,19,11,0.307,Discount,5.5,Credit Card
CUST011319,36,Male,WEST,Mid,Post-Graduate,Married,18,Monthly,In-store,Silver,0,12,70.89,924.32,80,6,0.1854,0.98,44,3,0.6214,Cashback,57,Credit Card
CUST014959,36,Male,central,Mid,Graduate,Widowed,16,Monthly,In-store,Bronze,0,17,87.1,1448.47,84,5,0.4244,,10,6,0.1889,Free Shipping,50,Debit Card
CUST004771,,female,east,Low,Graduate,Single,40,Monthly,Web,Platinum,0,5,68.19,310.13,98,1,0.0379,0.7894,26,10,0.9137,Free Shipping,,Wallet
CUST001752,52,M,south,Mid,High School,Single,14,Monthly,App,Gold,0,3,188.99,571.51,1,2,0.2318,0.5022,60,0,0.267,No Promotion,53.5,Wallet
CUST011672,55,Male,south,Mid,Post-Graduate,Single,21,Annual,Web,Silver,0,25,201.22,4887.56,83,4,0.2673,0.2972,51,0,0.5696,Discount,9,Credit Card
CUST007388,56,Female,EAST,Mid,High School,Single,51,Monthly,In-store,Platinum,0,4,339.69,1467.77,4,2,0.4709,,3,5,0.6499,No Promotion,,Debit Card
CUST018574,49,male,SOUTH,Mid,High School,Single,34,Annual,In-store,Silver,0,17,101.49,1701.68,161,4,0.0478,0.0098,6,0,0.1547,Discount,25,Wallet
CUST008581,42,Female,CENTRAL,Mid,Graduate,Divorced,22,Monthly,In-store,Silver,0,16,465.23,7178.41,,5,0.3009,,31,10,0.5072,No Promotion,15,Debit Card
CUST005165,29,Female,CENTRAL,Mid,,Single,46,Monthly,App,Gold,0,34,243.69,8656.49,88,8,0.2214,,8,2,0.3876,No Promotion,64,Credit Card
CUST019321,,female,West,Mid,High School,Widowed,41,Monthly,Phone,Gold,0,1,27.88,28.43,56,1,0.1926,0.4386,60,0,0.8961,No Promotion,73.5,Wallet
CUST002607,18,Female,Central,Mid,High School,Married,41,Monthly,Phone,Bronze,0,1,27.95,30.06,167,1,0.0093,0.3049,54,0,0.0833,No Promotion,61.5,Credit Card
CUST002982,35,Female,north,Mid,High School,Divorced,20,multiyear,App,Silver,1,,188.24,189.02,144,1,0.1033,0.5285,23,5,0.646,Cashback,35,Debit Card
CUST015314,56,MALE,south,Mid,High School,Single,40,Monthly,App,Silver,1,17,97.76,1620.46,139,7,0.4863,0.3514,7,1,0,Cashback,95,Wallet
CUST009807,53,female,central,High,Post-Graduate,Divorced,25,Annual,App,,0,41,35.85,1336.5,100,4,0.0637,0.5561,22,11,0.4992,Discount,53.5,Credit Card
CUST005909,43,Female,east,High,Graduate,Divorced,32,Monthly,Web,Bronze,0,14,27.53,405.09,,7,0.0946,0.1739,7,11,0.4809,Discount,51.5,Credit Card
CUST001331,58,Male,west,Low,Post-Graduate,Single,47,Annual,Web,Silver,0,12,346.12,3942.11,125,3,0.3167,0.1461,18,0,0.3702,Free Shipping,,Wallet
CUST010400,29,M,West,Low,Graduate,Married,5,Annual,In-store,Gold,0,6,26.52,147.04,96,3,0.2658,0.713,48,4,0.3997,,75,Credit Card
CUST015107,,Female,EAST,Mid,Graduate,Widowed,46,Annual,Web,Bronze,1,11,210.28,2354.48,46,4,0.3709,0.4928,46,20,0.2499,Free Shipping,70,Wallet
CUST001666,52,Male,South,Mid,Graduate,Married,36,multiyear,Phone,Bronze,0,17,67.16,1159.84,8,1,0.3683,0,21,8,0,No Promotion,82,Debit Card
CUST005531,45,Male,South ,Mid,Graduate,Single,27,Monthly,Web,Silver,0,14,123.61,1666.79,120,5,0.0482,0.5996,27,3,0.5159,Free Shipping,53.5,Wallet
CUST007744,33,MALE,West,,Post-Graduate,Married,10,Annual,App,Silver,0,1,31.34,33.32,31,1,0,0.508,56,0,0.6567,Cashback,37.5,Debit Card
CUST019150,32,Male,north,Mid,High School,Married,30,Multi-year,Web,Gold,0,,72.22,1383.83,72,6,0,,16,12,0.3379,Discount,37.5,Wallet
CUST014819,42,Female,central,Low,High School,Married,10,Monthly,App,Bronze,0,7,115.61,878.28,123,3,0.4244,0.7727,60,1,0.5841,Discount,,Wallet
CUST009086,35,Male,Central,Low,High School,Single,64,Annual,Web,Silver,0,20,143.51,2755.76,,5,0,0.5791,18,10,0.1752,No Promotion,67,Debit Card
CUST017891,41,MALE,South,High,Graduate,Widowed,5,Monthly,In-store,Bronze,1,1,20.67,22.66,23,1,0,0.7016,35,0,0.378,Discount,48.5,Credit Card
CUST008118,30,F,SOUTH,Mid,,Single,32,Multi-year,Phone,Platinum,1,35,34.88,1199.7,128,5,0.1895,0.98,34,0,0.9537,Discount,18.5,Credit Card
CUST006633,61,Female,NORTH,Mid,Graduate,Single,16,Monthly,App,Bronze,0,5,38.6,189.64,130,4,0,0.6034,41,0,0.5254,,30.5,Debit Card
CUST008491,36,M,central,Low,Graduate,Single,38,Annual,App,Silver,1,1,71.38,76.52,40,1,0.126,0.4074,30,0,0.8577,Cashback,53,Debit Card
CUST009127,49,M,WEST,Mid,Post-Graduate,Divorced,23,Multi-year,App,Gold,0,10,70.17,662.34,1,2,0.4,0.0239,51,5,0.3725,Free Shipping,61,COD
CUST012074,40,female,South,Mid,Post-Graduate,Widowed,44,Monthly,App,Gold,1,1,534.51,548.39,44,1,0.2674,0,60,10,0.2513,,46,Debit Card
CUST006661,67,Male,Central,,Graduate,Single,32,Monthly,In-store,Gold,0,3,20.19,64.81,80,3,0.4197,0.6601,17,0,0.8772,Cashback,80,Credit Card
CUST014537,27,Male,NORTH,Mid,Post-Graduate,Widowed,17,Annual,App,Gold,0,12,133.44,1474.79,151,3,0.2032,0.98,16,6,0.0938,No Promotion,70.5,Credit Card
CUST005337,18,MALE,South ,Mid,High School,Single,14,Annual,Web,Silver,0,13,346.64,4072.05,4,2,0.135,0.281,,8,0.5818,Discount,30.5,Debit Card
CUST009400,58,F,NORTH,Mid,Graduate,Single,20,Monthly,Phone,,0,16,28.81,424.25,115,2,0.3175,0.5255,9,10,0.7288,Free Shipping,34.5,Credit Card
CUST007807,47,FEMALE,south,Mid,High School,Married,37,Monthly,App,,0,10,239.6,2462.5,120,4,0.0443,0.4896,36,9,0.64,Cashback,100,COD
CUST012269,,Male,NORTH,Mid,Graduate,Married,13,Monthly,App,Bronze,0,,104.97,2091.33,94,5,0,0.9185,3,0,0.1907,Discount,86.5,Debit Card
CUST000489,38,Male,SOUTH,,Graduate,Married,12,Annual,Web,Bronze,0,4,50.04,210.68,129,2,0,0.702,17,6,0.6575,,98.5,Credit Card
CUST012686,46,Male,West,Mid,Graduate,Widowed,45,Monthly,Web,Gold,0,19,268.34,4594.55,124,2,0,0.8624,31,4,0.7658,Cashback,56,Debit Card
CUST016230,44,Female,east,Mid,Graduate,Single,37,Monthly,Web,Bronze,0,15,28.51,446.13,52,3,0.1427,0.4629,27,22,0.6929,Free Shipping,76,Credit Card
CUST019114,33,Female,North,Mid,Post-Graduate,Married,4,Monthly,App,Silver,0,5,25.14,135.42,102,5,,0.4042,60,1,0.3064,Free Shipping,29.5,Wallet
CUST019394,25,Female,East,High,Post-Graduate,Divorced,30,Multi-year,App,,0,24,104.8,2286.21,50,8,,0.6593,6,16,0.5417,No Promotion,92.5,Wallet
CUST018090,53,Male,WEST,Low,High School,Divorced,61,Monthly,Phone,Bronze,0,21,47.4,1068.58,139,5,0.5153,0.6802,30,14,0.6421,No Promotion,53.5,Debit Card
CUST002192,29,Female,CENTRAL,Low,High School,Single,56,Monthly,App,Bronze,0,9,15.33,149.51,60,2,,0.8833,28,11,0.3101,Cashback,54,Wallet
CUST004875,44,female,WEST,,High School,Married,8,Multi year,App,Silver,1,,116.52,1993.1,158,6,0.0389,,19,11,0.2683,No Promotion,92.5,Credit Card
CUST019456,42,Female,Central,,High School,Single,34,Monthly,Web,Bronze,1,,30.27,904.93,92,2,0.1387,0.526,41,0,0.9562,Discount,65,Wallet
CUST013064,53,Female,South,,High School,Widowed,84,Multi year,In-store,Bronze,0,16,371.01,6010.76,109,5,0.1607,0.5921,32,1,0.7271,,100,Credit Card
CUST014305,50,Male,north ,,Graduate,Single,16,Annual,In-store,Bronze,0,21,33.7,680.9,1,7,0.3124,0.3933,15,5,0.1259,Free Shipping,44,Debit Card
CUST002854,,Female,CENTRAL,High,High School,Married,12,Annual,Web,Platinum,1,9,152.94,1495.7,160,5,0.193,0.6271,,9,0.197,Cashback,36,Debit Card
CUST009470,51,Male,South,High,,Single,78,Monthly,App,Bronze,0,41,272.41,11266.21,183,8,,0.1682,47,14,0,,38,Wallet
CUST013453,38,Male,north,Low,,Single,33,Monthly,Web,Bronze,1,4,233.69,990.61,,4,0.2298,0,,7,0.073,No Promotion,,Credit Card
CUST005484,55,MALE,north ,Low,Graduate,Married,58,Annual,App,Bronze,0,24,213.32,5232.29,50,8,0.273,0.4174,21,10,0.2854,Free Shipping,91.5,Wallet
CUST001492,55,Male,EAST,,Graduate,Single,9,Monthly,In-store,Bronze,1,10,420.38,4025.91,1,2,0.2888,0.0618,55,8,0.6285,Cashback,,Wallet
CUST004889,38,Male,north ,Low,Graduate,Single,93,Monthly,App,Silver,0,,61.4,940.57,164,5,0.0413,0.6518,54,6,0.6754,Free Shipping,80.5,Wallet
CUST014984,53,Female,west,Low,Post-Graduate,Married,25,Annual,App,Silver,1,1,24.58,24.98,113,1,0.3297,0.98,34,0,0.6274,,30.5,Debit Card
CUST007629,38,Female,North,Low,Graduate,Married,27,Monthly,In-store,,0,,62.89,389.91,183,1,0.0362,0,28,0,0.7052,Cashback,100,Credit Card
CUST005692,21,Female,North,Low,Graduate,Married,18,Annual,App,Bronze,0,5,412.39,1996.51,50,1,0.053,0.6996,60,5,0.6028,Cashback,54.5,Credit Card
CUST013433,46,Male,East,Low,Doctorate,Married,26,Annual,Phone,Bronze,1,1,943,969.53,96,1,0.1446,0.98,,6,0,No Promotion,56,Debit Card
CUST005399,50,Female,North,,Graduate,Single,45,Monthly,Web,,0,,124.87,530.14,18,1,0.1417,0.1719,2,0,0.3662,Cashback,63.5,Credit Card
CUST015049,44,FEMALE,WEST,Mid,Graduate,Single,12,Annual,In-store,Bronze,1,,97.75,2393.72,1,7,0.182,,58,6,0.2279,Free Shipping,69,Wallet
CUST019494,24,F,Central,High,Post-Graduate,Married,43,Annual,Web,Bronze,1,11,131.69,1355.37,106,3,,0,21,0,0.5333,Discount,4.5,Credit Card
CUST001872,52,Female,Central,Low,Post-Graduate,Single,29,Monthly,App,Bronze,0,36,412.11,15701.58,,5,0.2115,0,4,19,0.3081,Free Shipping,,Credit Card
CUST002922,54,Female,East,Low,,Single,40,multi-year,Web,Silver,0,1,16.34,17.12,179,1,0.4411,0.7607,11,0,0.9016,Discount,34.5,Debit Card
CUST012801,39,Male,east,Low,Graduate,Married,34,multi-year,App,Bronze,0,42,190.92,7409.48,46,4,0.307,0.742,5,28,0.0954,Cashback,51.5,Debit Card
CUST004722,60,Female,central,High,Post-Graduate,Single,24,Annual,In-store,Gold,0,,183.56,5687.62,1,6,0.1795,0.6595,60,8,0.9556,No Promotion,46,COD
CUST014832,39,Male,North,,Post-Graduate,Single,26,Monthly,In-store,Gold,0,5,117.95,565.96,120,5,0.5953,0.98,15,1,0.2822,Cashback,22,Wallet
CUST016747,43,Male,South,High,,Married,9,Multi-year,App,Gold,0,18,64.12,1190.48,104,3,0.4944,0.1343,0,18,0.6134,Cashback,79.5,Wallet
CUST003352,44,Female,South,Mid,Doctorate,Single,48,Monthly,Web,Bronze,0,6,25.94,151.29,1,5,0.2771,0.4133,27,1,0.7184,Free Shipping,54.5,Credit Card
CUST012700,61,F,CENTRAL,Mid,Post-Graduate,Single,14,Monthly,Web,,0,3,32.31,92.49,13,3,0.2982,0.1119,47,0,0,Discount,39,COD
CUST018852,33,MALE,north ,Mid,Graduate,Married,24,Monthly,Phone,Gold,0,5,181.28,921.23,100,3,0.4117,,0,2,0.2027,Discount,53.5,Credit Card
CUST003869,,Male,South,,High School,Married,34,Monthly,Web,Silver,0,5,148.87,811.71,58,4,0.2138,0.5276,34,1,0.2727,,64.5,Debit Card
CUST000303,49,Female,CENTRAL,Low,Graduate,Married,64,Monthly,Web,Bronze,0,10,599.43,5540.97,156,5,0.1698,,0,5,0.4156,Cashback,34.5,COD
CUST018023,49,Male,East,Low,High School,Married,30,Monthly,In-store,Bronze,1,13,34.32,459.05,82,5,0.0386,0.689,19,0,0.256,Free Shipping,80.5,Credit Card
CUST007507,62,F,central,High,Graduate,Single,44,Multi-year,Web,Bronze,0,8,113.58,983.58,30,1,0.1939,0.0691,32,0,0,No Promotion,96,COD
CUST009720,36,Male,NORTH,Mid,Graduate,Single,16,Monthly,Web,Silver,0,,306.28,1989.6,104,1,0.1754,0.2614,0,0,0.1016,Free Shipping,33,Debit Card
CUST013701,27,female,south,High,High School,Married,50,Monthly,Web,Bronze,0,7,25.53,195.32,1,5,0.4813,0.98,,3,0.3883,Discount,30.5,Debit Card
CUST002894,51,Male,CENTRAL,High,Post-Graduate,Single,30,Multi-year,Phone,Gold,0,22,122.95,2757.89,96,7,0.3513,0.7829,9,5,0.1687,No Promotion,82,Credit Card
CUST003424,38,Male,Central,Mid,,Divorced,70,Monthly,Phone,,0,37,178.14,6818.77,19,3,0.0051,0.407,0,1,0.1305,Free Shipping,0.5,Credit Card
CUST015514,48,Female,north,Mid,Graduate,Married,31,Annual,Phone,,0,,146.16,267.71,104,3,0.1172,0.4273,32,5,0.8422,Cashback,,Debit Card
CUST013887,43,Male,North,Mid,High School,Single,67,Annual,App,Silver,0,7,204.07,1342.7,118,1,0.183,0.6202,60,0,0.392,Discount,83.5,Debit Card
CUST007769,42,Male,north,High,High School,Single,14,Annual,Web,Silver,0,11,78.87,878.01,90,1,0.244,0,39,0,0.3069,Cashback,60,Credit Card
CUST006852,24,Female,CENTRAL,High,High School,Married,10,Multi-year,Web,Bronze,0,16,268.7,4397.48,80,3,,0.345,0,3,0.4524,,90.5,Wallet
CUST008873,18,Male,WEST,High,Graduate,Married,30,Monthly,Phone,Bronze,1,7,270.12,1747.2,,7,,0.3334,,9,0,Discount,75,Wallet
CUST014616,55,F,south,High,Graduate,Married,12,Multi-year,Web,Bronze,0,5,542.06,2686.19,42,4,0.5617,0.98,59,9,0.3252,Cashback,48.5,COD
CUST014964,36,Male,South,High,Graduate,Married,24,multiyear,In-store,Silver,0,7,29.79,219.81,90,5,0.3398,0.0068,2,4,0.3722,Discount,97.5,Wallet
CUST000437,58,Male,South ,Mid,Doctorate,Married,13,Annual,In-store,Bronze,0,12,114.31,1245.7,94,4,0.2135,0.665,50,2,0.0494,No Promotion,,Credit Card
CUST008694,68,Male,Central,Mid,Post-Graduate,Single,17,Annual,App,Silver,0,,67.2,208.25,26,2,0,0.6848,53,14,0.6441,No Promotion,43.5,COD
CUST012942,32,Male,North,,Graduate,Married,31,Monthly,In-store,Gold,0,5,434.84,2020.14,1,2,0.3632,0.6641,60,6,0.4737,Cashback,66.5,Credit Card
CUST010506,34,Male,South,,Graduate,Married,42,Annual,App,Gold,0,1,104.29,111.09,172,1,,0.7547,29,3,0.0096,No Promotion,77,Debit Card
CUST003672,63,Female,EAST,,Post-Graduate,Married,13,Annual,Web,Platinum,0,5,34.46,172.72,1,4,0.0219,0.8168,58,9,0.97,No Promotion,,Wallet
CUST014298,50,Female,west,Mid,,Single,30,Multi-year,In-store,Gold,0,12,143.45,1559.43,183,3,,0.4914,45,0,0.441,,62,Credit Card
CUST007834,59,Female,north ,Mid,Graduate,Divorced,70,Annual,In-store,,0,17,116.14,1944.76,36,7,0,0.5283,7,4,0.7904,Discount,93,Debit Card
CUST009491,27,Female,North,Low,Post-Graduate,Married,31,Annual,Web,Bronze,1,1,18.94,19.35,183,1,,0.3785,60,15,0.7584,No Promotion,91,Debit Card
CUST004434,54,M,south,,Post-Graduate,Widowed,38,Annual,Web,Silver,0,,41.42,1453.27,104,5,,0.4152,,7,0.1047,Discount,33,Wallet
CUST017713,33,Male,East,Mid,High School,Divorced,17,Annual,Web,Gold,0,11,107.84,1277.1,1,4,0.3311,0.9424,17,4,0.2028,Discount,85.5,Wallet
CUST012330,50,Female,east,Low,High School,Married,20,Annual,Web,Bronze,1,28,116.22,3066.51,120,4,0.4303,0,0,8,0.1477,No Promotion,51,Debit Card
CUST011765,36,Male,south,Mid,High School,Divorced,8,Annual,In-store,Bronze,0,17,37.45,581.34,,4,0.2232,0.4306,24,1,0.0373,No Promotion,,Credit Card
CUST000859,63,Female,north ,High,Graduate,Married,68,Annual,App,Bronze,0,5,45.71,217.15,80,3,0.0892,0.323,0,0,0.0325,No Promotion,71.5,COD
CUST006324,35,Male,east,Mid,High School,Single,20,Monthly,Web,Bronze,0,7,705.18,4470.67,88,1,0.2665,0.6367,6,1,0.6958,Discount,55.5,Credit Card
CUST008557,18,Male,central,High,Doctorate,Widowed,10,Monthly,Phone,Bronze,0,29,150.47,4568.57,50,6,0.6928,0.7336,58,1,0.97,No Promotion,,Credit Card
CUST014786,30,Female,South,Low,High School,Married,40,Monthly,Web,Silver,0,16,114.86,1864.94,183,6,0.7957,0.8456,55,3,0.4612,Free Shipping,,Credit Card
CUST009883,32,Male,east,High,High School,Single,21,Monthly,In-store,Gold,0,6,353.02,2136.7,34,3,0.0871,0.3839,60,10,0.6469,Free Shipping,25,Debit Card
CUST012380,37,Male,north ,Low,Graduate,Single,5,Multi-year,Phone,Silver,0,3,20.99,67.4,150,3,0.3976,0.3878,19,0,0.3472,No Promotion,25,Wallet
CUST010390,45,Male,South,Mid,Doctorate,Married,12,Monthly,In-store,Bronze,0,27,86.51,2480.24,37,6,0.4478,0.2376,41,13,0.9472,No Promotion,61.5,COD
CUST007335,,Male,central,High,High School,Divorced,57,Monthly,App,Silver,1,1,875.31,895.69,100,1,0.3059,0.3668,0,10,0,,22.5,Credit Card
CUST002689,26,MALE,east,Low,High School,Married,17,Annual,Web,Platinum,0,5,16.35,83.56,146,4,0.2003,,60,14,0.3627,No Promotion,21.5,Credit Card
CUST003206,32,MALE,West,Mid,Doctorate,Married,33,Multi-year,In-store,Silver,0,16,82.32,1301.82,72,5,0.3599,0.5806,37,0,0.2922,Cashback,,Wallet
CUST007758,46,Male,EAST,High,Graduate,Single,10,Monthly,Web,Bronze,0,1,36.71,37.82,118,1,0.2901,0.98,0,0,0.4974,No Promotion,21.5,Debit Card
CUST008596,48,F,Central,Mid,Doctorate,Married,2,Annual,App,Gold,0,1,26.47,28.61,60,1,0.0031,0.2176,5,0,0,Discount,28,COD
CUST003731,62,Male,East,Mid,Graduate,Single,25,Monthly,In-store,Gold,0,5,138.71,665.83,183,3,0.2856,0.3272,60,12,0.7193,Discount,50.5,Credit Card
CUST001515,18,Male,South,High,Post-Graduate,Married,12,Annual,Web,Silver,0,18,84.82,1451.01,69,6,0.3464,0.5598,,19,0.5331,Cashback,75.5,Credit Card
CUST013171,50,Male,South,,High School,Married,8,Annual,App,Bronze,0,,11.72,484.41,132,8,,,46,8,0.9061,Cashback,75,Credit Card
CUST008013,18,female,West,Mid,High School,Single,14,multi-year,Web,Silver,1,33,395.28,12819.47,49,6,0.0764,0.5904,28,11,0.5445,Discount,58,COD
CUST017233,36,Female,SOUTH,Mid,High School,Married,30,Annual,App,,0,13,25.45,345.81,10,6,,0.8863,,0,0.7789,Free Shipping,100,Debit Card
CUST012943,25,Female,West,,Graduate,Single,44,Annual,Web,Bronze,0,24,257.53,6052.22,170,8,0,0.5268,20,12,0.6484,Cashback,47.5,Debit Card
CUST016405,50,Female,South ,Mid,Graduate,Divorced,37,Multi-year,Phone,Silver,0,42,123.43,5684.53,,8,0.2294,0.6838,35,29,0.6465,Discount,34.5,Wallet
CUST012756,41,Male,WEST,Mid,High School,Divorced,11,Monthly,Phone,Bronze,1,6,281.65,1623.01,15,2,0,0.3156,0,5,0.3465,,74,Credit Card
CUST005285,,male,NORTH,Mid,Graduate,Single,37,Monthly,Web,Silver,0,1,31.32,32.46,64,1,0.5151,0.3479,32,3,0.6691,No Promotion,31.5,Debit Card
CUST004812,28,Male,west,Mid,Doctorate,Single,5,Monthly,Phone,Bronze,1,20,555.92,10436.96,6,5,0.169,0.2859,21,17,0.7626,No Promotion,59,Credit Card
CUST011082,43,Male,West,Mid,Post-Graduate,Married,32,Monthly,App,Bronze,0,,51.37,760,121,8,0.404,0.858,25,14,0.2122,Free Shipping,61.5,Wallet
CUST003726,,Non-binary,east,Mid,Graduate,Married,91,Monthly,App,Bronze,1,23,23.86,511.94,160,5,0.1903,0.4392,12,8,0.4633,No Promotion,47.5,Credit Card
CUST011153,49,Female,east,Low,Post-Graduate,Divorced,8,Monthly,Phone,Platinum,0,,83.54,1370.63,96,6,0.5772,0.6549,49,0,0.22,Free Shipping,77,Debit Card
CUST015892,,Female,NORTH,Low,,Widowed,13,Annual,Web,Bronze,0,14,92.93,1211.82,126,2,0.192,0.6306,49,9,0.1225,Discount,84,Credit Card
CUST014002,45,FEMALE,Central,Mid,,Widowed,38,Multi-year,Web,Bronze,0,14,62.28,893.66,100,6,0.2255,0.4171,26,11,0,,,Wallet
CUST002144,37,Male,SOUTH,Low,Graduate,Single,23,Annual,In-store,Bronze,0,7,40.37,265.66,183,3,0,0.98,24,8,0.2487,Discount,63,Credit Card
CUST014011,60,Female,north ,Low,High School,Divorced,36,Annual,In-store,Gold,1,1,491.7,495.55,163,1,,0.2725,22,3,0.0741,Cashback,64,Wallet
CUST016005,45,Female,South ,Mid,Post-Graduate,Single,43,Monthly,Web,,1,8,53.95,411.45,183,4,0.2417,0.1989,55,8,0.3549,No Promotion,55,Debit Card
CUST018538,41,Female,CENTRAL,Mid,,Single,43,Monthly,App,Gold,0,13,203.02,2733.41,,3,0.294,0.9614,28,10,0.8979,No Promotion,81.5,Debit Card
CUST003675,40,Male,South,Mid,Doctorate,Single,6,Annual,Web,Bronze,0,10,330.67,3259.49,,7,,0.3347,37,9,0.7443,Free Shipping,40.5,Credit Card
CUST001347,54,Female,CENTRAL,Low,High School,Married,32,Annual,Web,,0,25,44.22,1029.46,154,4,0.647,,,14,0.5639,No Promotion,42,Credit Card
CUST013013,42,Male,NORTH,Mid,,Married,18,Multi-year,Web,,0,22,122.24,2454.5,,6,0.4299,0.2041,,11,0.2842,Discount,87.5,Wallet
CUST009482,,Female,West,Low,Post-Graduate,Single,45,multi-year,Web,Bronze,0,12,435.63,5467.34,183,1,0.0298,0.2193,0,1,0.0012,Cashback,85,Debit Card
CUST005537,45,F,central,Low,,Single,27,Annual,Web,,0,36,44.1,1652.48,2,4,0.3685,0,24,32,0,,31.5,Credit Card
CUST018512,69,male,east,Mid,High School,Widowed,18,Annual,Web,Bronze,0,6,404,2405.34,1,6,0.2032,0.5607,60,4,0.3743,Cashback,48.5,COD
CUST010352,40,Male,south,Low,Graduate,Married,39,Annual,In-store,,1,2,13.37,26.89,41,2,0.3965,0.4223,33,17,0.4603,Cashback,78,Debit Card
CUST011631,,Female,South ,,Post-Graduate,Married,33,Monthly,Web,Silver,1,4,270.79,1026.95,,4,0.0069,0.4314,0,5,0.3408,Discount,59,Wallet
CUST000332,47,Male,EAST,High,High School,Married,19,Multi-year,App,Silver,0,22,51.82,1136.73,183,5,0.079,0.2763,49,5,0.1729,No Promotion,31.5,Credit Card
CUST002475,51,Female,South,High,,Single,46,Monthly,Phone,Gold,0,11,126.73,1457.78,183,3,0.2316,0.5689,48,0,0.4971,No Promotion,38,Wallet
CUST014749,42,Female,west,Low,Graduate,Widowed,43,Annual,App,,0,8,28.76,242.58,169,3,0.2255,0.98,,12,0.1569,No Promotion,52,Debit Card
CUST015511,54,Male,South,,High School,Married,39,Monthly,Web,Bronze,0,2,35.39,68.52,,1,0.3886,0.7935,17,0,0.8893,Discount,42.5,Credit Card
CUST017700,51,male,Central,Mid,High School,Single,40,Multi-year,Phone,Bronze,0,20,55.52,1150.14,92,5,0,0.5142,51,0,0.6874,Free Shipping,63.5,Debit Card
CUST005201,36,female,East,Low,High School,Married,46,Annual,Web,,0,15,120.85,1807.86,136,1,0.2739,0.4606,60,0,0.803,No Promotion,56,COD
CUST014766,35,F,CENTRAL,Low,Post-Graduate,Single,18,Monthly,App,Gold,0,16,19.83,332.49,183,3,,0.4909,53,9,0.4579,No Promotion,42.5,Debit Card
CUST013841,50,Male,west,Mid,Doctorate,Single,44,Monthly,Web,Silver,1,1,13.64,14.38,,1,,0,0,5,0,Discount,32.5,COD
CUST008850,37,male,west,Mid,Graduate,Divorced,31,Monthly,Phone,Silver,0,41,94.94,4087.4,114,7,0.2944,0.6333,,10,0.9407,Free Shipping,47,Debit Card
CUST018752,18,F,East,Low,,Married,22,Monthly,In-store,Bronze,0,14,68.18,890.53,,7,0.0031,,0,0,0.5837,Discount,42,Debit Card
CUST010788,37,Male,east,Low,Post-Graduate,Single,46,Annual,Web,Silver,0,8,111.07,856.95,102,1,0.5894,0.2932,23,0,0.4678,Discount,66.5,Credit Card
CUST006754,39,Female,EAST,High,High School,Married,25,Annual,Phone,,1,1,1783.64,1784.7,90,1,0,0.6832,50,0,0.97,Cashback,50.5,Credit Card
CUST016153,29,female,CENTRAL,Low,,Married,66,Monthly,Web,,1,31,73.28,2247.57,32,3,0.3112,0.6245,41,21,0.5876,Free Shipping,,Credit Card
CUST009356,44,Male,EAST,Low,Post-Graduate,Married,47,Monthly,Phone,Bronze,1,17,199.49,3367.5,120,7,0.0549,,50,7,0.016,No Promotion,71,COD
CUST007662,49,Female,South,Mid,Graduate,Divorced,50,Annual,In-store,Platinum,0,41,84.46,3578.67,14,8,,0.1246,46,16,0.902,,,Debit Card
CUST008518,23,male,Central,Low,High School,Divorced,77,Annual,App,Silver,0,1,407.74,435.21,,1,0.5209,0.059,,1,0.2649,Cashback,100,COD
CUST004777,67,Male,South,Low,Graduate,Married,49,Annual,Web,Bronze,0,11,61.92,692,165,8,0.2263,0.1708,36,0,0.6399,Free Shipping,72.5,Credit Card
CUST014318,45,Female,South ,Mid,High School,Single,38,Monthly,Web,Bronze,0,10,260.26,2671.84,,6,0.4056,0.3059,35,6,0.4176,Discount,60.5,Credit Card
